chrom	midpoint	midpoint+1	c-w sum	c-w distance	replicate id
chr7	53735	53736	139.0	17	1
chr7	92387	92388	26.0	20	1
chr7	149323	149324	12.0	36	1
chr7	210250	210251	50.0	21	1
chr7	316708	316709	17.0	32	1
chr7	371365	371366	70.0	27	1
chr7	397848	397849	17.0	37	1
chr7	417375	417376	57.0	28	1
chr7	428444	428445	92.0	21	1
chr7	596357	596358	533.0	17	1
chr7	596380	596381	487.0	26	1
chr7	640534	640535	1593.0	27	1
chr7	731846	731847	77.0	20	1
chr7	746590	746591	11.0	37	1
chr7	774524	774525	10.0	21	1
chr7	853593	853594	32.0	24	1
chr6	4693	4694	25.0	20	1
chr6	4710	4711	17.0	28	1
chr6	4944	4945	105.0	31	1
chr6	5113	5114	92.0	35	1
chr6	184088	184089	46.0	32	1
chr5	85276	85277	24.0	25	1
chr5	111193	111194	29.0	17	1
chr5	128431	128432	88.0	17	1
chr5	194792	194793	19.0	29	1
chr5	225521	225522	25.0	33	1
chr5	266162	266163	52.0	31	1
chr5	322028	322029	7.0	24	1
chr5	462386	462387	257.0	19	1
chr5	484591	484592	53.0	33	1
chr5	484613	484614	35.0	26	1
chr5	522903	522904	14.0	27	1
chr4	52010	52011	9.0	37	1
chr4	87362	87363	91.0	29	1
chr4	125320	125321	211.0	29	1
chr4	169911	169912	8.0	21	1
chr4	222142	222143	10.0	26	1
chr4	411464	411465	49.0	25	1
chr4	524841	524842	40.0	35	1
chr4	769406	769407	60.0	31	1
chr4	1071810	1071811	64.0	33	1
chr4	1229733	1229734	15.0	25	1
chr4	1259731	1259732	14.0	21	1
chr4	1359607	1359608	22.0	23	1
chr4	1362650	1362651	15.0	26	1
chr4	1443595	1443596	12.0	37	1
chr4	1493328	1493329	60.0	34	1
chr3	53	54	20.0	34	1
chr3	50516	50517	71.0	33	1
chr3	78546	78547	33.0	22	1
chr2	122265	122266	20.0	17	1
chr2	337054	337055	32.0	18	1
chr2	350886	350887	24.0	25	1
chr2	369864	369865	27.0	27	1
chr2	391999	392000	168.0	27	1
chr2	427651	427652	12.0	34	1
chr2	578172	578173	24.0	28	1
chr2	668699	668700	21.0	21	1
chr1	87194	87195	49.0	18	1
chr9	41641	41642	19.0	36	1
chr9	122227	122228	40.0	18	1
chr9	131900	131901	270.0	30	1
chr9	169918	169919	199.0	20	1
chr9	197778	197779	200.0	20	1
chr9	244664	244665	15.0	36	1
chr9	254412	254413	24.0	24	1
chr9	360541	360542	136.0	25	1
chr9	429551	429552	9.0	21	1
chr8	151407	151408	167.0	25	1
chr8	187683	187684	15.0	29	1
chr8	480845	480846	16.0	20	1
chr8	556642	556643	88.0	25	1
chr13	14894	14895	150.0	19	1
chr13	14920	14921	27.0	20	1
chr13	169969	169970	154.0	28	1
chr13	225506	225507	19.0	28	1
chr13	253581	253582	54.0	25	1
chr13	266914	266915	23.0	29	1
chr13	271860	271861	11.0	20	1
chr13	372534	372535	14.0	22	1
chr13	420254	420255	25.0	37	1
chr13	510372	510373	15.0	19	1
chr13	510393	510394	30.0	26	1
chr13	695121	695122	6.0	19	1
chr13	832084	832085	28.0	18	1
chr12	22	23	11.0	33	1
chr12	5719	5720	153.0	24	1
chr12	11319	11320	14.0	28	1
chr12	11583	11584	24.0	29	1
chr12	196670	196671	23.0	34	1
chr12	198600	198601	93.0	26	1
chr12	234713	234714	27.0	21	1
chr12	241838	241839	7.0	19	1
chr12	370793	370794	37.0	26	1
chr12	371243	371244	111.0	31	1
chr12	399430	399431	14.0	23	1
chr12	460366	460367	28.0	26	1
chr12	460539	460540	36.0	17	1
chr12	489669	489670	122.0	33	1
chr12	501174	501175	120.0	34	1
chr12	543789	543790	118.0	25	1
chr12	554311	554312	73.0	32	1
chr12	636386	636387	36.0	19	1
chr12	922326	922327	13.0	28	1
chr12	924586	924587	9.0	18	1
chr12	932301	932302	26.0	17	1
chr12	1053257	1053258	108.0	20	1
chr12	1057191	1057192	33.0	33	1
chr11	183	184	76.0	18	1
chr11	67922	67923	12.0	18	1
